Icon,Code,Name,Icon ,Code ,Name 
<span class="mdi-icon" style="mask:url(../icons/thermometer.svg);-webkit-mask-box-image:url(../icons/thermometer.svg)"></span>, <code>E50F</code>, thermometer, <span class="mdi-icon" style="mask:url(../icons/string-lights.svg);-webkit-mask-box-image:url(../icons/string-lights.svg)"></span>, <code>F2BA</code>, string-lights
<span class="mdi-icon" style="mask:url(../icons/water.svg);-webkit-mask-box-image:url(../icons/water.svg)"></span>, <code>E58C</code>, water, <span class="mdi-icon" style="mask:url(../icons/vanity-light.svg);-webkit-mask-box-image:url(../icons/vanity-light.svg)"></span>, <code>F1E1</code>, vanity-light
<span class="mdi-icon" style="mask:url(../icons/water-percent.svg);-webkit-mask-box-image:url(../icons/water-percent.svg)"></span>, <code>E58E</code>, water-percent, <span class="mdi-icon" style="mask:url(../icons/wall-sconce.svg);-webkit-mask-box-image:url(../icons/wall-sconce.svg)"></span>, <code>E91C</code>, wall-sconce
<span class="mdi-icon" style="mask:url(../icons/weather-cloudy.svg);-webkit-mask-box-image:url(../icons/weather-cloudy.svg)"></span>, <code>E590</code>, weather-cloudy , <span class="mdi-icon" style="mask:url(../icons/check.svg);-webkit-mask-box-image:url(../icons/check.svg)"></span>, <code>E12C</code>, check
<span class="mdi-icon" style="mask:url(../icons/weather-fog.svg);-webkit-mask-box-image:url(../icons/weather-fog.svg)"></span>, <code>E591</code>, weather-fog , <span class="mdi-icon" style="mask:url(../icons/close.svg);-webkit-mask-box-image:url(../icons/close.svg)"></span>, <code>E156</code>, close
<span class="mdi-icon" style="mask:url(../icons/weather-hail.svg);-webkit-mask-box-image:url(../icons/weather-hail.svg)"></span>, <code>E592</code>, weather-hail , <span class="mdi-icon" style="mask:url(../icons/cog.svg);-webkit-mask-box-image:url(../icons/cog.svg)"></span>, <code>E493</code>, cog
<span class="mdi-icon" style="mask:url(../icons/weather-lightning.svg);-webkit-mask-box-image:url(../icons/weather-lightning.svg)"></span>, <code>E593</code>, weather-lightning , <span class="mdi-icon" style="mask:url(../icons/dots-vertical.svg);-webkit-mask-box-image:url(../icons/dots-vertical.svg)"></span>, <code>E1D9</code>, dots-vertical
<span class="mdi-icon" style="mask:url(../icons/weather-lightning-rainy.svg);-webkit-mask-box-image:url(../icons/weather-lightning-rainy.svg)"></span>, <code>E67E</code>, weather-lightning-rainy , <span class="mdi-icon" style="mask:url(../icons/home.svg);-webkit-mask-box-image:url(../icons/home.svg)"></span>, <code>E2DC</code>, home
<span class="mdi-icon" style="mask:url(../icons/weather-night.svg);-webkit-mask-box-image:url(../icons/weather-night.svg)"></span>, <code>E594</code>, weather-night, <span class="mdi-icon" style="mask:url(../icons/home-outline.svg);-webkit-mask-box-image:url(../icons/home-outline.svg)"></span>, <code>E6A1</code>, home-outline
<span class="mdi-icon" style="mask:url(../icons/weather-partly-cloudy.svg);-webkit-mask-box-image:url(../icons/weather-partly-cloudy.svg)"></span>, <code>E595</code>, weather-partly-cloudy , <span class="mdi-icon" style="mask:url(../icons/minus.svg);-webkit-mask-box-image:url(../icons/minus.svg)"></span>, <code>E374</code>, minus
