img, haspCP,name, importance,mdiCP,purpose, remarks
<img src="../../assets/svgs/materialdesign/svg/string-lights.svg" height=32 style="margin:0">,<code>F2BA</code>,string-lights,34,0xf12ba,light, 
<img src="../../assets/svgs/materialdesign/svg/timer-outline.svg" height=32 style="margin:0">,<code>E51B</code>,timer-outline,33,0xf051b,time, 
<img src="../../assets/svgs/materialdesign/svg/window-closed-variant.svg" height=32 style="margin:0">,<code>F1DB</code>,window-closed-variant,33,0xF11DB,security,alarm / sensor
<img src="../../assets/svgs/materialdesign/svg/battery-outline.svg" height=32 style="margin:0">,<code>E08E</code>,battery-outline,32,0xf008e,energy, sensor display
<img src="../../assets/svgs/materialdesign/svg/home-outline.svg" height=32 style="margin:0">,<code>E6A1</code>,home-outline,32,0xf06a1,btn-nav,use normal version instead
<img src="../../assets/svgs/materialdesign/svg/fountain.svg" height=32 style="margin:0">,<code>E96B</code>,fountain,31,0xF096B,device,
<img src="../../assets/svgs/materialdesign/svg/kettle.svg" height=32 style="margin:0">,<code>E5FA</code>,kettle,31,0xf05fa,device,
<img src="../../assets/svgs/materialdesign/svg/music.svg" height=32 style="margin:0">,<code>E75A</code>,music,31,0xf075a,sound,media player -song
<img src="../../assets/svgs/materialdesign/svg/water-pump.svg" height=32 style="margin:0">,<code>E58F</code>,water-pump,31,0xf058f,device, 
<img src="../../assets/svgs/materialdesign/svg/arrow-down-box.svg" height=32 style="margin:0">,<code>E6C0</code>,arrow-down-box,30,0xf06c0,arrow,control
<img src="../../assets/svgs/materialdesign/svg/arrow-up-box.svg" height=32 style="margin:0">,<code>E6C3</code>,arrow-up-box,30,0xf06c3,arrow,control
<img src="../../assets/svgs/materialdesign/svg/battery-high.svg" height=32 style="margin:0">,<code>F2A3</code>,battery-high,30,0xf12a3,energy, sensor display
<img src="../../assets/svgs/materialdesign/svg/battery-low.svg" height=32 style="margin:0">,<code>F2A1</code>,battery-low,30,0xf12a1,energy, sensor display
<img src="../../assets/svgs/materialdesign/svg/battery-medium.svg" height=32 style="margin:0">,<code>F2A2</code>,battery-medium,30,0xf12a2,energy, sensor display
<img src="../../assets/svgs/materialdesign/svg/calendar.svg" height=32 style="margin:0">,<code>E0ED</code>,calendar,29,0xF00ED,time,date
<img src="../../assets/svgs/materialdesign/svg/cctv.svg" height=32 style="margin:0">,<code>E7AE</code>,cctv,29,0xF07AE,security,
<img src="../../assets/svgs/materialdesign/svg/history.svg" height=32 style="margin:0">,<code>E2DA</code>,history,29,0xF02DA,time,
<img src="../../assets/svgs/materialdesign/svg/dots-vertical.svg" height=32 style="margin:0">,<code>E1D9</code>,dots-vertical,28,0xf01d9,navigation, menu
<img src="../../assets/svgs/materialdesign/svg/engine.svg" height=32 style="margin:0">,<code>E1FA</code>,engine,28,0xf01fa,device,
<img src="../../assets/svgs/materialdesign/svg/monitor-speaker.svg" height=32 style="margin:0">,<code>EF5F</code>,monitor-speaker,28,0xf0f5f,sound, home device control
